username,prediction.homeTeam,prediction.awayTeam,round,date,pointsEarned,homeTeam,awayTeam,actualHome,actualAway,roundPoints,totalPoints
daniel,1,2,15,2025-07-19T17:03:30.000Z,0,Fortaleza,Bahia,1,1,25,132
daniel,1,0,15,2025-07-19T17:03:39.000Z,0,Vasco,Grêmio,1,1,25,132
daniel,2,2,15,2025-07-19T17:04:03.000Z,0,Mirassol,Santos,3,0,25,132
daniel,0,3,15,2025-07-19T17:04:25.000Z,0,São Paulo,Corinthians,2,0,25,132
daniel,1,0,15,2025-07-19T17:04:41.000Z,10,Internacional,Ceará,1,0,25,132
daniel,4,0,15,2025-07-19T17:05:00.000Z,12,Cruzeiro,Juventude,4,0,25,132
daniel,2,0,15,2025-07-19T17:05:33.000Z,5,Vitória,Bragantino,1,0,25,132
daniel,0,3,15,2025-07-19T17:05:42.000Z,0,Palmeiras,Atlético Mineiro,3,2,25,132
daniel,0,2,15,2025-07-19T17:05:54.000Z,5,Sport,Botafogo,0,1,25,132
daniel,2,0,15,2025-07-19T17:06:04.000Z,5,Flamengo,Fluminense,1,0,25,132
bruno,1,0,15,2025-07-19T17:52:50.000Z,0,Fortaleza,Bahia,1,1,30,87
bruno,1,0,15,2025-07-19T17:52:54.000Z,0,Vasco,Grêmio,1,1,30,87
bruno,0,1,15,2025-07-19T17:53:00.000Z,0,Mirassol,Santos,3,0,30,87
bruno,1,0,15,2025-07-19T17:53:06.000Z,5,São Paulo,Corinthians,2,0,30,87
bruno,1,0,15,2025-07-19T17:53:09.000Z,10,Internacional,Ceará,1,0,30,87
bruno,1,0,15,2025-07-19T17:53:14.000Z,5,Cruzeiro,Juventude,4,0,30,87
bruno,1,1,15,2025-07-19T17:53:18.000Z,0,Vitória,Bragantino,1,0,30,87
bruno,1,0,15,2025-07-19T17:53:22.000Z,5,Palmeiras,Atlético Mineiro,3,2,30,87
bruno,1,1,15,2025-07-19T17:53:27.000Z,0,Sport,Botafogo,0,1,30,87
bruno,1,0,15,2025-07-19T17:53:31.000Z,11,Flamengo,Fluminense,1,0,30,87
lucas,0,0,15,2025-07-19T18:03:25.000Z,5,Fortaleza,Bahia,1,1,20,111
lucas,0,0,15,2025-07-19T18:03:33.000Z,5,Vasco,Grêmio,1,1,20,111
lucas,0,0,15,2025-07-19T18:03:47.000Z,0,Mirassol,Santos,3,0,20,111
lucas,0,0,15,2025-07-19T18:03:54.000Z,0,São Paulo,Corinthians,2,0,20,111
lucas,0,0,15,2025-07-19T18:04:06.000Z,0,Internacional,Ceará,1,0,20,111
lucas,0,0,15,2025-07-19T18:04:20.000Z,0,Cruzeiro,Juventude,4,0,20,111
lucas,0,0,15,2025-07-19T18:04:30.000Z,0,Vitória,Bragantino,1,0,20,111
lucas,0,0,15,2025-07-19T18:04:37.000Z,0,Palmeiras,Atlético Mineiro,3,2,20,111
lucas,0,0,15,2025-07-19T18:04:45.000Z,0,Sport,Botafogo,0,1,20,111
lucas,0,0,15,2025-07-19T18:04:51.000Z,0,Flamengo,Fluminense,1,0,20,111
joaozorzella,1,1,15,2025-07-19T18:19:10.000Z,10,Fortaleza,Bahia,1,1,25,167
joaozorzella,1,0,15,2025-07-19T18:19:32.000Z,0,Vasco,Grêmio,1,1,25,167
joaozorzella,0,0,15,2025-07-19T18:19:49.000Z,0,Mirassol,Santos,3,0,25,167
joaozorzella,2,1,15,2025-07-19T18:20:16.000Z,5,São Paulo,Corinthians,2,0,25,167
joaozorzella,1,0,15,2025-07-19T18:20:35.000Z,10,Internacional,Ceará,1,0,25,167
joaozorzella,3,1,15,2025-07-19T18:20:50.000Z,5,Cruzeiro,Juventude,4,0,25,167
joaozorzella,1,2,15,2025-07-19T18:21:08.000Z,0,Vitória,Bragantino,1,0,25,167
joaozorzella,2,1,15,2025-07-19T18:21:26.000Z,5,Palmeiras,Atlético Mineiro,3,2,25,167
joaozorzella,0,1,15,2025-07-19T18:21:42.000Z,11,Sport,Botafogo,0,1,25,167
joaozorzella,2,0,15,2025-07-19T18:21:58.000Z,5,Flamengo,Fluminense,1,0,25,167
daniel,2,0,16,2025-07-23T15:52:54.000Z,0,Fluminense,Palmeiras,1,2,25,132
daniel,0,4,16,2025-07-23T15:52:59.000Z,5,Ceará,Mirassol,0,2,25,132
daniel,3,0,16,2025-07-23T15:53:06.000Z,0,Corinthians,Cruzeiro,0,0,25,132
daniel,2,1,16,2025-07-23T15:53:12.000Z,0,Santos,Internacional,1,2,25,132
daniel,1,3,16,2025-07-23T15:53:18.000Z,5,Bragantino,Flamengo,1,2,25,132
daniel,1,0,16,2025-07-23T15:53:24.000Z,0,Vitória,Sport,2,2,25,132
daniel,2,1,16,2025-07-23T15:53:28.000Z,0,Juventude,São Paulo,0,1,25,132
braulio,3,3,16,2025-07-23T15:54:27.000Z,0,Fluminense,Palmeiras,1,2,25,158
braulio,0,1,16,2025-07-23T15:54:37.000Z,5,Ceará,Mirassol,0,2,25,158
braulio,1,2,16,2025-07-23T15:54:47.000Z,0,Corinthians,Cruzeiro,0,0,25,158
braulio,1,1,16,2025-07-23T15:54:58.000Z,0,Santos,Internacional,1,2,25,158
braulio,1,0,16,2025-07-23T15:55:29.000Z,0,Bragantino,Flamengo,1,2,25,158
braulio,3,0,16,2025-07-23T15:55:41.000Z,0,Vitória,Sport,2,2,25,158
braulio,1,2,16,2025-07-23T15:55:53.000Z,5,Juventude,São Paulo,0,1,25,158
lucas,2,0,16,2025-07-23T16:34:42.000Z,0,Fluminense,Palmeiras,1,2,20,111
lucas,2,0,16,2025-07-23T16:34:55.000Z,0,Ceará,Mirassol,0,2,20,111
lucas,2,0,16,2025-07-23T16:35:03.000Z,0,Corinthians,Cruzeiro,0,0,20,111
lucas,2,0,16,2025-07-23T16:35:10.000Z,0,Santos,Internacional,1,2,20,111
lucas,2,0,16,2025-07-23T16:35:18.000Z,0,Bragantino,Flamengo,1,2,20,111
lucas,2,0,16,2025-07-23T16:35:27.000Z,0,Vitória,Sport,2,2,20,111
lucas,2,0,16,2025-07-23T16:35:33.000Z,0,Juventude,São Paulo,0,1,20,111
ricardomello,2,1,16,2025-07-23T16:37:11.000Z,0,Fluminense,Palmeiras,1,2,15,157
luciano,1,0,16,2025-07-23T16:41:29.000Z,0,Fluminense,Palmeiras,1,2,30,163
luciano,1,1,16,2025-07-23T16:41:53.000Z,0,Ceará,Mirassol,0,2,30,163
luciano,1,3,16,2025-07-23T16:42:27.000Z,0,Corinthians,Cruzeiro,0,0,30,163
luciano,1,0,16,2025-07-23T16:42:55.000Z,0,Santos,Internacional,1,2,30,163
luciano,1,2,16,2025-07-23T16:43:26.000Z,10,Bragantino,Flamengo,1,2,30,163
luciano,2,0,16,2025-07-23T16:43:42.000Z,0,Vitória,Sport,2,2,30,163
luciano,0,2,16,2025-07-23T16:44:02.000Z,5,Juventude,São Paulo,0,1,30,163
ricardomello,1,1,16,2025-07-23T17:27:57.000Z,0,Ceará,Mirassol,0,2,15,157
ricardomello,2,2,16,2025-07-23T17:28:07.000Z,5,Corinthians,Cruzeiro,0,0,15,157
ricardomello,1,0,16,2025-07-23T17:28:18.000Z,0,Santos,Internacional,1,2,15,157
ricardomello,1,2,16,2025-07-23T17:28:23.000Z,10,Bragantino,Flamengo,1,2,15,157
ricardomello,1,0,16,2025-07-23T17:28:33.000Z,0,Vitória,Sport,2,2,15,157
ricardomello,1,3,16,2025-07-23T17:28:49.000Z,5,Juventude,São Paulo,0,1,15,157
joaozorzella,1,0,16,2025-07-23T21:46:20.000Z,0,Ceará,Mirassol,0,2,25,167
joaozorzella,1,2,16,2025-07-23T21:46:30.000Z,11,Fluminense,Palmeiras,1,2,25,167
joaozorzella,1,1,16,2025-07-23T21:46:43.000Z,5,Corinthians,Cruzeiro,0,0,25,167
joaozorzella,1,1,16,2025-07-23T21:47:23.000Z,0,Santos,Internacional,1,2,25,167
joaozorzella,2,2,16,2025-07-23T21:47:52.000Z,0,Bragantino,Flamengo,1,2,25,167
joaozorzella,0,1,16,2025-07-23T21:48:24.000Z,0,Vitória,Sport,2,2,25,167
joaozorzella,2,1,16,2025-07-23T21:49:00.000Z,0,Juventude,São Paulo,0,1,25,167
bruno,1,0,16,2025-07-23T22:08:15.000Z,0,Corinthians,Cruzeiro,0,0,30,87
bruno,1,0,16,2025-07-23T22:08:23.000Z,0,Santos,Internacional,1,2,30,87
bruno,0,1,16,2025-07-23T22:08:28.000Z,5,Bragantino,Flamengo,1,2,30,87
bruno,1,1,16,2025-07-23T22:08:33.000Z,5,Vitória,Sport,2,2,30,87
bruno,0,1,16,2025-07-23T22:08:38.000Z,11,Juventude,São Paulo,0,1,30,87
murilo,5,2,16,2025-07-23T22:53:03.000Z,0,Santos,Internacional,1,2,35,105
murilo,1,4,16,2025-07-23T22:53:14.000Z,5,Bragantino,Flamengo,1,2,35,105
murilo,2,0,16,2025-07-23T22:53:23.000Z,0,Vitória,Sport,2,2,35,105
murilo,1,3,16,2025-07-23T22:53:30.000Z,5,Juventude,São Paulo,0,1,35,105
antonio,1,0,16,2025-07-24T21:56:23.000Z,0,Juventude,São Paulo,0,1,0,56
